date	HL_CI4	HL_CI4	HL_CI4
2018-01-07 11:20:00	20.020033121405845	20.091562843375712	19.987896579651277
2018-01-07 11:30:00	20.047579223341824	20.13311352959915	20.009150766907382
2018-01-07 11:40:00	20.077390437537602	20.17688019561603	20.032692140429916
2018-01-07 11:50:00	20.109448556545622	20.22284732854655	20.058501282168393
2018-01-07 12:00:00	20.155867999249484	20.321599329087036	20.08140899598915
2018-01-07 12:10:00	20.213927473905223	20.380794166567313	20.13895838010052
2018-01-07 12:20:00	20.272029072843107	20.44005974021421	20.19653703387928
2018-01-07 12:30:00	20.330213042306344	20.499410919302477	20.254196604815334
2018-01-07 12:40:00	20.38847986721347	20.558848251398786	20.311937549680948
2018-01-07 12:50:00	20.44683041141953	20.618373051179503	20.369760529788252
2018-01-07 13:00:00	20.498101020418925	20.691700797508545	20.411121410422155
2018-01-07 13:10:00	20.56394344262253	20.741684962035336	20.484088557089265
2018-01-07 13:20:00	20.626674259477433	20.788637033622052	20.553908375441452
2018-01-07 13:30:00	20.686363217595144	20.832607651096765	20.620659196746587
2018-01-07 13:40:00	20.743034517337154	20.873617893542715	20.684366623679594
2018-01-07 13:50:00	20.796711811485274	20.911688637706078	20.745055556226617
2018-01-07 14:00:00	20.809582701351182	20.927018360405924	20.756821753080175
2018-01-07 14:10:00	20.89377310213261	21.007182273677046	20.842821155496694
2018-01-07 14:20:00	20.976559570000482	21.0859998630915	20.92739074266973
2018-01-07 14:30:00	21.05805154134997	21.163548237293327	21.010654475056583
2018-01-07 14:40:00	21.13826070245583	21.239839953403447	21.092623647682274
2018-01-07 14:50:00	21.217198469203776	21.31488646601781	21.173309659040967
2018-01-07 15:00:00	21.33424298978585	21.442998964574713	21.28538160980824
2018-01-07 15:10:00	21.41551203421237	21.522670118318104	21.36736854715039
2018-01-07 15:20:00	21.496120564865564	21.601683210509265	21.448693868996656
2018-01-07 15:30:00	21.57603619297578	21.680017599042714	21.529319909090617
2018-01-07 15:40:00	21.65526472753629	21.757678518857062	21.609252734334206
2018-01-07 15:50:00	21.733811888841643	21.83467131075426	21.68849823551858
2018-01-07 16:00:00	21.845865782739438	21.91564108333924	21.81451745928156
2018-01-07 16:10:00	21.89906885896054	21.982404219662314	21.86162833458728
2018-01-07 16:20:00	21.954424341840856	22.05123403410977	21.910930132270764
2018-01-07 16:30:00	22.011814467534183	22.122058259332874	21.96228464803042
2018-01-07 16:40:00	22.071221904061453	22.194859875875977	22.01567440947811
2018-01-07 16:50:00	22.13262930660959	22.269621884462357	22.071081916559805
2018-01-07 17:00:00	22.20474445926737	22.29855615784058	22.16259717440115
2018-01-07 17:10:00	22.206469371924474	22.302632497331697	22.163265648915434
2018-01-07 17:20:00	22.2088849882769	22.307350343071985	22.16464693032549
2018-01-07 17:30:00	22.211869806810892	22.31262991161055	22.166600774219745
2018-01-07 17:40:00	22.215419734181605	22.318466717045204	22.169123263619703
2018-01-07 17:50:00	22.21953072815804	22.32485678316064	22.17221032663513
2018-01-07 18:00:00	22.132885446337763	22.172534430208003	22.115072134743894
2018-01-07 18:10:00	22.080888021415667	22.08952659105567	22.07700692491074
2018-01-07 18:20:00	22.016052449281204	21.99400145023877	22.025959419865487
2018-01-07 18:30:00	21.938510176166275	21.88602880187276	21.96208876461698
2018-01-07 18:40:00	21.848369479197032	21.76571086858866	21.88550595642688
2018-01-07 18:50:00	21.745739365086084	21.633154091864267	21.796321154504575
2018-01-07 19:00:00	21.6238917343252	21.477745225642444	21.689551759965273
2018-01-07 19:10:00	21.512905682453308	21.36905526502182	21.577534130864553
2018-01-07 19:20:00	21.40286547955202	21.26123391964939	21.466497049943055
2018-01-07 19:30:00	21.29377880957487	21.154342984071636	21.356423890598062
2018-01-07 19:40:00	21.18563910368408	21.048379690562697	21.24730637624586
2018-01-07 19:50:00	21.078438503570805	20.943336926301587	21.139136313648283
2018-01-07 20:00:00	20.944779415759577	20.796325697453796	21.01147601383899
2018-01-07 20:10:00	20.822518441758238	20.664285937471412	20.893608407452323
2018-01-07 20:20:00	20.699387309955974	20.531409844252693	20.77485544672122
2018-01-07 20:30:00	20.575401950937724	20.397697338274664	20.655240255177652
2018-01-07 20:40:00	20.450569479868953	20.263154796875664	20.53477027947464
2018-01-07 20:50:00	20.324897244829447	20.12778940115677	20.413452942711373
2018-01-07 21:00:00	20.164079067771336	19.93799479117337	20.26565316305448
2018-01-07 21:10:00	20.040183572754184	19.819011083234777	20.13955092311798
2018-01-07 21:20:00	20.0	19.89432052976583	20.047479182279126
2018-01-07 21:30:00	20.0	20.02430257171832	19.989081453285976
2018-01-07 21:40:00	20.0	20.109847736315356	19.950648118467022
2018-01-07 21:50:00	20.0	20.166143198798636	19.92535595416293
2018-01-07 22:00:00	20.0	20.22992807478638	19.896698980893078
2018-01-07 22:10:00	20.0	20.25038440457985	19.887508455913398
2018-01-07 22:20:00	20.0	20.26387588530603	19.881447066021927
2018-01-07 22:30:00	20.0	20.272754298009314	19.877458213937842
2018-01-07 22:40:00	20.0	20.27859699061028	19.87483323610263
2018-01-07 22:50:00	20.0	20.282441941013275	19.873105794617224
2018-01-07 23:00:00	20.0	20.2849722202203	19.871969002509722
2018-01-07 23:10:00	20.0	20.287908252348718	19.870649915611445
2018-01-07 23:20:00	20.0	20.288599213403874	19.870339483833042
2018-01-07 23:30:00	20.0	20.287816196232303	19.8706912741565
2018-01-07 23:40:00	20.0	20.286063182326107	19.871478860114358
2018-01-07 23:50:00	20.0	20.28367183406238	19.872553233971978
