date	HL_CI4_T_op	HL_CI4_T_air	HL_CI4_theta_c	HL_CE2_T_op	HL_CE2_T_air	HL_CE2_theta_c	HL_CJ1_T_op	HL_CJ1_T_air	HL_CJ1_theta_c	HL_CL1_T_op	HL_CL1_T_air	HL_CL1_theta_c	HL_CI3_T_op	HL_CI3_T_air	HL_CI3_theta_c
2025-01-14 01:10:00	18.171569569894622	18.19157518267024	18.162581540966457	17.693912194557125	17.721421938438635	17.681552744407465	17.71011310526538	17.70658118050252	17.71169991204289	18.44241168607562	18.44406153260229	18.44167045067958	17.419740527967015	17.456118210645077	17.403396931401517
2025-01-14 01:20:00	18.093032048753308	18.101130353025706	18.089393680167163	17.57702593008988	17.576326906702942	17.57733998407532	17.612282204007137	17.608910581461625	17.61379699094787	18.35496293665848	18.317300316015167	18.371883824193887	17.358373092573927	17.420505238625914	17.330458650144784
2025-01-14 01:30:00	18.014363775110322	18.012472696314845	18.01521339022134	17.50392927	17.538845050956635	17.488242469860065	17.50754815	17.495227195788935	17.51308365116729	18.28209395352401	18.230329444452394	18.30535047209242	17.24189804009515	17.262636676183334	17.232580681852646
2025-01-14 01:40:00	17.93427537973047	17.921415710331118	17.94005291235917	17.50392927	17.649137933022573	17.438690595308703	17.50754815	17.626850097342874	17.45394872438219	18.261490150729102	18.262154038334987	18.261191882384423	17.168470264579696	17.203158326729007	17.152885772889434
2025-01-14 01:50:00	17.90037127658461	17.933078255243835	17.885676836897133	17.50392927	17.728496304876593	17.40303683404095	17.50754815	17.712159395785413	17.415621358415258	18.198698976295297	18.189950258852775	18.202629559494113	17.103250389397644	17.157737716069605	17.078770575965315
2025-01-14 02:00:00	17.820816536107777	17.834027761485835	17.81488105803937	17.50392927	17.777630484516198	17.380962057681128	17.50754815	17.766251843108414	17.3913189545455	18.158798984340823	18.168423275546974	18.154475027422116	17.02915043446557	17.08700908376633	17.003155968837703
2025-01-14 02:10:00	17.76134846964222	17.783268086693326	17.75150052574969	17.50392927	17.813992865191793	17.364625335928327	17.50754815	17.808945900763238	17.372137566323772	18.091345196319516	18.083433527901033	18.094899714014772	16.93586168	16.976426482099242	16.917636913839473
2025-01-14 02:20:00	17.74350649	17.830006306743137	17.704644253492212	17.50392927	17.83277985410121	17.356184804679163	17.50754815	17.82895777850154	17.363146722702215	18.03385815915772	18.023593553307627	18.03846979367008	16.935861679999995	17.071432233901902	16.87495317027596
2025-01-14 02:30:00	17.74350649	17.89347425917899	17.676129666165963	17.50392927	17.844991182519536	17.350698555679628	17.50754815	17.843884473158514	17.356440526551978	17.987841570155815	17.989606582129074	17.987048593762033	16.935861679999995	17.130726835278537	16.848313566758918
2025-01-14 02:40:00	17.74350649	17.937855873655494	17.65619010024173	17.50392927	17.856582556840927	17.34549083678161	17.50754815	17.854947562538598	17.35147015306238	17.920410275777513	17.905126414465958	17.92727693810589	16.935861680000002	17.176534663114964	16.82773323831067
